,dataset,last_val_loss
4043,MER-MSSHF-SH-TCC-TCWV-tp-UW-VW-MSLP-Z500,579.7046508789062
199,MER-MSSHF-RH-SH-TCC-TCWV-SST-Z500,579.8642578125
1358,MER-MSSHF-RH-t2m-TCC-TCWV-UW-VW-MSLP,580.49169921875
2862,MSSHF-RH-SH-t2m-TCC-TCWV-VW-Z500,581.2822875976562
4083,MSSHF-RH-SH-t2m-TCC-TCWV-tp-VW-MSLP-Z500,581.300537109375
5938,MER-RH-SH-t2m-TCC-tp-VW-MSLP,581.5169067382812
2761,MER-MSSHF-RH-SH-TCC-TCWV-tp-VW-MSLP-Z500,581.6140747070312
1032,MSSHF-RH-t2m-TCC-TCWV-UW-Z500,581.6240234375
5681,MER-MSSHF-SH-TCC-TCWV-tp-UW-VW-Z500,582.1195068359375
470,MER-SH-t2m-TCC-TCWV-tp-VW-Z500,582.2786254882812
6440,MSSHF-RH-SH-TCC-TCWV-tp-UW-VW,582.5523071289062
3968,MER-MSSHF-RH-SH-TCC-TCWV-VW-Z500,582.8402099609375
616,MER-MSSHF-RH-SH-t2m-tp-UW-VW-MSLP,583.48095703125
221,MSSHF-TCC-TCWV-tp-UW-VW-MSLP-Z500,583.7846069335938
1878,MER-MSSHF-SH-t2m-TCC-tp-UW-MSLP-Z500,584.1221923828125
2153,MER-RH-t2m-TCC-TCWV-tp-UW-MSLP-Z500,584.2393188476562
856,MER-MSSHF-RH-SH-TCWV-tp-VW-MSLP,584.2432861328125
544,MER-MSSHF-RH-TCC-tp-UW-VW-MSLP-SST,584.381103515625
2583,MER-MSSHF-SH-t2m-TCC-TCWV-UW-VW-MSLP-Z500,584.4804077148438
3500,MSSHF-RH-SH-t2m-TCC-tp-UW-MSLP-SST-Z500,584.7687377929688
4645,MER-RH-SH-t2m-TCC-tp-UW-VW-Z500,585.2196044921875
3625,MER-MSSHF-RH-t2m-tp-UW-VW-MSLP-Z500,585.2283935546875
4046,MER-MSSHF-RH-t2m-tp-UW-MSLP-Z500,585.6117553710938
6475,MER-MSSHF-RH-SH-t2m-TCWV-tp-VW-SST-Z500,585.7423706054688
3356,MER-MSSHF-RH-SH-TCC-TCWV-tp-VW-MSLP-SST,585.8666381835938
155,MSSHF-RH-tp-UW-VW-MSLP-Z500,585.9757690429688
5679,MER-MSSHF-RH-SH-t2m-tp-VW-MSLP-SST,586.0484008789062
651,MER-t2m-TCC-TCWV-tp-UW-VW-MSLP,586.218017578125
1840,MSSHF-RH-SH-t2m-TCC-TCWV-UW-VW-Z500,586.4089965820312
6045,MER-MSSHF-RH-SH-t2m-UW-VW-MSLP-SST-Z500,586.56689453125
2378,MSSHF-RH-SH-t2m-TCC-tp-UW-VW-SST,586.7163696289062
1100,MSSHF-RH-SH-t2m-TCC-TCWV-tp-UW-MSLP,586.7388916015625
4597,MSSHF-RH-t2m-UW-VW-MSLP-Z500,586.9047241210938
2465,MSSHF-RH-SH-t2m-TCC-TCWV-tp-UW-VW-Z500,587.025146484375
2860,MER-MSSHF-RH-SH-t2m-TCC-tp-UW-VW-Z500,587.1095581054688
1433,MER-MSSHF-RH-TCC-TCWV-tp-VW-MSLP-SST,587.3428955078125
751,MSSHF-RH-SH-t2m-TCC-TCWV-MSLP-SST-Z500,587.45654296875
6488,MER-MSSHF-RH-TCC-TCWV-UW-VW-MSLP-SST,587.4638671875
2147,MER-RH-t2m-TCC-TCWV-UW-VW-MSLP-Z500,587.5931396484375
58,RH-SH-t2m-TCC-TCWV-tp-MSLP-Z500,587.7902221679688
2890,MER-MSSHF-SH-TCC-tp-UW-VW-MSLP-SST,588.0079345703125
1818,RH-SH-t2m-TCC-tp-UW-VW-MSLP-SST,588.136474609375
6642,MSSHF-RH-SH-t2m-UW-VW-MSLP-SST,588.2587280273438
6557,MER-MSSHF-TCC-TCWV-UW-VW-MSLP-Z500,588.3698120117188
640,MER-MSSHF-SH-t2m-TCC-tp-UW-SST,588.4307861328125
