,1,2,3,4,5,6,7,8,9,10,11,12
MER-MSSHF-UW,1214.0902821354937,1074.4666310185978,916.4783307124065,1505.6620356168046,1215.156008876351,1198.7057950593273,2043.5892590053295,2342.4737517506705,1583.1551949989098,1526.4493472498248,980.8591731969308,1057.966435619946
MER-MSSHF-VW,1009.7710885894742,1324.3725499357545,1121.6468038821906,1115.4683093533397,1132.4770169637818,1296.9020959745492,1875.2406848757792,2206.795425109508,1836.9755223264942,1602.487208978916,966.0112476313922,1345.0442110177344
MER-RH-SD,1057.3752193669498,1596.866333814992,2135.530118262687,1435.8044969143837,1045.8074191086937,2124.0015198532346,2106.595641548544,3744.720530021219,2346.2278881173033,1963.1032216097508,1213.1778132520824,1802.2677368284906
MER-RH-SH,1012.3657206829835,1053.623878588421,1403.7844421279053,1433.9883833586496,1007.4458608435435,1374.9952743051367,1701.862480443731,1895.6509409966475,1912.9725889868462,1843.4163451337115,914.7958389741447,1039.5643631934659
MER-RH-t2m,1054.68505730111,1229.1444572436528,1145.4645924217884,1226.273123264705,1103.7309869064443,1185.903145322161,2094.37910673406,1700.0489506691554,2112.5618169170502,1784.314909817796,853.1492542004116,1022.2764225822478
MER-RH-TCC,1613.4051616512033,999.0788842861865,1670.8262589329,1160.321425625553,1097.1178135068978,1240.8264617904176,1859.7391854434773,1996.098144439684,2161.596668389751,2221.7607442835056,821.1663791134164,1156.2835912628439
MER-RH-TCWV,1451.5075971972421,933.0717536006097,1220.1615136257587,1312.7597463509221,1025.8473666524053,1425.3939760738817,1859.0162444773114,1913.1157007560098,2033.6304735582162,2962.4573906076303,960.9637798854959,1069.0283833551607
MER-RH-tp,1413.5692253262366,1037.8061593541574,1191.1983434477056,879.9493244920096,1011.9579360462367,1385.4672056173436,2143.324619068082,1833.4827676531027,1937.364726111517,2762.0279457464594,948.4399557100293,1242.2461005813584
MER-RH-UW,1136.8371990910425,1097.1351073129797,1205.190010551424,1123.989545449722,1070.8557964693134,1377.4483339928145,2089.6748680790197,1722.8681742944605,1839.876643263068,1510.0303358529075,815.4529877269282,1456.058731308274
MER-RH-VW,1117.049054497979,1100.537322682068,1020.6059405354499,1302.8786694033713,1224.0795796042648,1291.795976296664,2197.398900881906,1740.8048421078954,2132.185720196897,2196.1978703926156,1067.4038545705191,1412.2993509621335
MER-SD-SH,904.8821732765022,871.0329563049685,1063.6513499779091,1065.5709407181341,1117.345881941266,1226.6041245559513,1855.4605354870841,1784.6280078142781,2408.5050957329236,1667.4569548900156,4314.275922990951,1193.1718609776374
MER-SD-t2m,1234.7599911764387,1096.7601803394887,1030.143825480463,1318.907473304438,1140.6663609822326,45711.90074455417,2496.969028236024,2493.1270972381776,2029.697352790589,1638.800179006571,1391.3161755220217,2126.905801277548
MER-SD-TCC,1013.2724712448613,1545.7558151439177,1209.0153736231357,3472.8164538186793,1066.505609823267,6151.167514092329,2239.795880617493,2039.4071997537098,1885.5714775601339,2336.6136199878524,1192.8061261584012,1809.8974323168413
MER-SD-TCWV,1732.4698510215392,1277.0036187916141,1117.0287781700208,3570.6984437678093,1032.3040919696723,2132.584156745303,2590.0777611557837,2797.078870391808,1916.423146373599,1812.3806718787569,1314.9893409299295,1970.8373250369661
MER-SD-tp,873.8032057930102,1297.3830846644187,1376.787755225269,3917.154723530339,2946.2020926273667,1246.768472311416,3094.139150285141,3807.9059886805385,2034.2481513434602,1560.749505440797,1278.0234863724454,2122.4063554944723
MER-SD-UW,1168.198176946297,1272.286716522339,1399.4960960868993,2513.0955807983796,1073.9033451757757,10535.073794597487,2540.090608876516,3444.060827593122,1854.5307622531134,1337.4774776006352,1087.5124233616693,2084.6309941123586
MER-SD-VW,1149.4223920797224,808.5193457776923,964.179861393836,4366.137871455897,1340.9999675727715,1429.0834871355448,2100.375474699554,4234.558378491602,2779.1946699057175,2053.3599407749152,3640.5052783820906,1750.8391444434299
MER-SH-t2m,939.3528524469554,1053.5230668634458,1061.2826892040507,1144.4637334893282,1230.623094180583,1184.7967596780006,1766.9549379772175,2338.7471597832655,2084.7184621583738,1606.0374225142243,933.0502915669889,1036.4557060906802
MER-SH-TCC,1280.437240789702,1036.3101527368522,1587.0728989967315,1161.127563088908,1187.5030574892708,1151.6464615556756,1990.1303187951653,2221.9370709091854,2022.4320464780951,1951.9496233891464,988.2433355776196,1030.3852565852303
MER-SH-TCWV,1216.2674268578648,1026.275826756633,1072.7096134519302,1227.7362779161765,1165.9726736262712,1502.1587365172443,2107.4249739191764,2466.784111342941,1944.868106897866,1488.2816195456066,918.2167727458562,848.6497710192334
MER-SH-tp,1038.3297456335417,1260.5336324104167,1122.527770583327,1340.6472619859471,1236.7755362397975,1797.0976449742884,1630.5316245942747,1806.0197472999928,1916.553714847119,1878.0445085764877,843.6970838703937,1058.1524638316555
MER-SH-UW,1163.0020919440249,987.8209089612608,1454.5787783734916,1426.577149291289,1160.460160757902,1229.7168133164628,1978.650704885731,2632.689794134115,2086.487887917539,1516.3569945098207,844.5967331451686,1174.034166396715
